"LOCALITY.ID","group.id","month","timegroups"
"L23968078","G10119705",4,"2022"
"L10139898","G10389667",11,"2019"
"L10143746","G10389670",11,"2019"
"L4869582","G1892807",8,"2016"
"L4869590","G1892808",8,"2016"
"L4869596","G1892809",8,"2016"
"L6321583","G2860782",10,"2017"
"L7081942","G3024532",12,"2017"
"L13850152","G7919212",2,"2021"
"L14723839","G7919286",2,"2021"
"L21603051","G9206838",11,"2022"
"L21642575","G9222149",11,"2022"
"L14723839","G9222427",11,"2022"
"L21643247","G9222431",11,"2022"
"L21643275","G9222435",11,"2022"
"L21726612","G9264527",12,"2022"
"L21726612","G9264528",12,"2022"
"L13850152","G9264531",12,"2022"
"L21726415","G9264534",12,"2022"
"L17346908","S100241939",12,"2021"
"L6612341","S102825279",2,"2021"
"L17893893","S103552306",2,"2021"
"L18219984","S105409503",3,"2021"
"L18379163","S106308983",4,"2021"
"L18423588","S106574545",4,"2021"
"L18526823","S107154476",4,"2021"
"L18527652","S107158198",4,"2021"
"L18659788","S107872193",4,"2021"
"L18684386","S108007676",4,"2021"
"L13850152","S116432665",1,"2011-2012"
"L3440428","S117138561",8,"2022"
"L3440428","S117192141",8,"2022"
"L13850152","S118953149",9,"2022"
"L13850152","S119069492",9,"2022"
"L13850152","S119129341",9,"2022"
"L13850152","S119180539",9,"2022"
"L21240749","S120685137",10,"2022"
"L16484795","S121394188",10,"2022"
"L22065569","S125388987",11,"2022"
"L22775150","S129417260",2,"2022"
"L14937511","S129419776",2,"2022"
"L22785850","S129481874",2,"2022"
"L13850152","S129654181",2,"2022"
"L23164009","S131508348",2,"2022"
"L14723839","S135247588",4,"2022"
"L13850152","S137623349",3,"2018"
"L3437761","S22063505",2,"2014"
"L3440400","S22076407",2,"2014"
"L3440428","S22076515",2,"2014"
"L4326676","S27919878",9,"2014"
"L4497404","S29000893",3,"2015"
"L4497404","S29001103",4,"2015"
"L4497404","S29001464",4,"2015"
"L4497404","S29001645",4,"2015"
"L4450289","S29411545",2,"before 2000"
"L5265373","S31993152",10,"2016"
"L5152892","S33055078",11,"2016"
"L5243067","S33577130",1,"2000-2006"
"L6318534","S39525708",10,"2017"
"L6357360","S39984129",10,"2017"
"L6612341","S41341046",6,"2017"
"L7146633","S44109186",3,"2017"
"L7473313","S46053168",5,"2017"
"L7749501","S47436846",10,"2014"
"L8004920","S49035708",10,"2018"
"L4497404","S49538045",10,"2018"
"L8086817","S49554786",10,"2018"
"L8086828","S49554825",10,"2018"
"L4497404","S49559034",10,"2018"
"L8090131","S49577787",10,"2018"
"L4497404","S49593263",11,"2018"
"L8137023","S49907072",1,"2007-2010"
"L8137027","S49907104",1,"2007-2010"
"L8137027","S49907244",1,"2007-2010"
"L8137027","S49907489",1,"2007-2010"
"L8137027","S49945451",1,"2007-2010"
"L8137027","S49945481",1,"2007-2010"
"L8137027","S49945554",1,"2007-2010"
"L8137027","S49945579",1,"2007-2010"
"L8137027","S49945742",1,"2007-2010"
"L8137027","S49945758",1,"2007-2010"
"L8137027","S49945809",1,"2007-2010"
"L8137027","S49945823",1,"2007-2010"
"L8299229","S50937575",12,"2018"
"L8518538","S52161648",1,"2018"
"L8959060","S54472979",3,"2018"
"L8959080","S54473031",4,"2018"
"L10010139","S60476833",2,"2007-2010"
"L10282339","S62258851",12,"2019"
"L10282465","S62260135",12,"2019"
"L10286210","S62283965",12,"2019"
"L12559148","S75180985",10,"2020"
"L6612341","S77010420",12,"2020"
"L13402396","S79958136",1,"2020"
"L13402435","S79958317",1,"2020"
"L13606942","S81057485",2,"2020"
"L13646930","S81282807",2,"2020"
"L13646975","S81283030",2,"2020"
"L13850713","S82409198",2,"2020"
"L13864906","S82480165",2,"2020"
"L13888537","S82611208",3,"2020"
"L14370302","S85095313",3,"2017"
"L14370507","S85096375",3,"2017"
"L14370676","S85097214",3,"2017"
"L14370880","S85098199",3,"2017"
"L14371132","S85100472",3,"2017"
"L14371373","S85100726",3,"2017"
"L15338589","S90025410",6,"2021"
"L16484795","S95252578",9,"2021"
"L16720989","S96630105",10,"2021"
"L16720992","S96630115",10,"2021"
"L16484795","S98317953",11,"2021"
