"gridg0","group.id","month","timegroups"
"47542","S19421834",2,"2007-2010"
"54699","S19421843",2,"2007-2010"
"54699","S19421842",2,"2007-2010"
"60543","S21694534",1,"2014"
"60542","S25700227",10,"2015"
"59892","S21694559",1,"2014"
"60542","S25701281",10,"2015"
"58589","S21550264",1,"2014"
"58589","S21694460",1,"2014"
"58589","S21694500",1,"2014"
"54699","S44053957",2,"2014"
"59240","S25700055",10,"2015"
"47572","S34047976",1,"2016"
"54699","S34749391",2,"2016"
"68358","S34013677",1,"2016"
"47572","S34048044",1,"2016"
"69639","S34013153",1,"2016"
"47572","S34047883",1,"2016"
"54699","S34749403",2,"2016"
"68358","S34047481",1,"2016"
"60542","S34949018",2,"2016"
"47572","S34048146",1,"2016"
"54699","S34947268",2,"2016"
"63802","S34047608",1,"2016"
"70951","S34013255",1,"2016"
"63802","S34047710",1,"2016"
"69639","S34013073",1,"2016"
"54699","S34749081",2,"2016"
"47572","S34048232",1,"2016"
"54699","S34749096",2,"2016"
"48872","S34971409",1,"2016"
"70951","S34013368",1,"2016"
"69639","S34012977",1,"2016"
"70951","S34013424",1,"2016"
"59240","S36135143",4,"2016"
"63802","S34047752",1,"2016"
"54699","S34749396",2,"2016"
"54699","S34749071",2,"2016"
"54699","S34749068",2,"2016"
"47572","S34069560",1,"2016"
"69639","S34012864",1,"2016"
"54699","G3531581",4,"2017"
"54699","G3531565",4,"2017"
"54700","S42403353",2,"2017"
"60542","S41957125",1,"2017"
"54699","G3546469",4,"2017"
"54699","G3531555",4,"2017"
"54699","G3531563",4,"2017"
"54699","G3531566",4,"2017"
"54699","G3531151",4,"2017"
"54699","G3531560",4,"2017"
"54699","G3531575",4,"2017"
"54699","G3531583",4,"2017"
"54699","G3531574",4,"2017"
"54699","G3531578",4,"2017"
"54699","G3531569",4,"2017"
"54699","G3531562",4,"2017"
"54699","G3531582",4,"2017"
"54699","G3531584",4,"2017"
"54699","G3531557",4,"2017"
"54699","G3531580",4,"2017"
"54699","G3531556",4,"2017"
"54699","G3546466",4,"2017"
"54699","G3531554",4,"2017"
"54699","S47681995",3,"2017"
"57947","G3534164",4,"2017"
"54699","G3546470",4,"2017"
"54699","G3531564",4,"2017"
"54699","G3546596",4,"2017"
"54699","G3531579",4,"2017"
"54699","G3531567",4,"2017"
"54699","G3531576",4,"2017"
"60542","S49066508",10,"2018"
"60542","S49066340",10,"2018"
"54699","G3531573",4,"2017"
"54699","G3531572",4,"2017"
"59240","G4605959",5,"2018"
"54699","S54124034",3,"2018"
"63151","G4605952",4,"2018"
"59239","G4602986",10,"2019"
"57947","S54704860",3,"2018"
"60542","S54779837",4,"2018"
"63802","G4602985",10,"2019"
"64453","S55832581",4,"2018"
"58589","G4605961",5,"2018"
"54699","S59967204",5,"2018"
"59240","G4605957",5,"2018"
"70951","S60681835",9,"2019"
"54699","S60605819",10,"2019"
"64453","G4605953",4,"2018"
"60542","S96210734",1,"2018"
"59240","G4605958",5,"2018"
"59240","G4605956",5,"2018"
"64452","G4605951",4,"2018"
"58589","G4605960",5,"2018"
"63152","G4605954",5,"2018"
"58589","G4605962",5,"2018"
"70951","S60605878",9,"2019"
"63802","S63315493",1,"2019"
"63802","S64935532",2,"2019"
"54700","G5442037",6,"2020"
"58589","S65673095",3,"2019"
"54699","S75623909",10,"2020"
"54699","S74765402",9,"2020"
"47572","S63926602",1,"2019"
"63802","S64935537",2,"2019"
"54700","G5442041",6,"2020"
"54699","G5442027",6,"2020"
"54699","S77324821",12,"2020"
"54699","S76432608",11,"2020"
"60542","S63313581",1,"2019"
"64453","S65673120",3,"2019"
"63802","S64935522",2,"2019"
"54699","G5442043",6,"2020"
"54699","S74198747",9,"2020"
"54699","S64743531",2,"2019"
"54699","S71767181",7,"2020"
"54699","S75126918",10,"2020"
"54699","S76219411",11,"2020"
"54699","S64337530",2,"2019"
"54699","S73658164",9,"2020"
"54699","S76180791",11,"2020"
"54699","S77574052",12,"2020"
"54699","S63314665",1,"2019"
"60542","S65650313",3,"2019"
"47571","S63926444",1,"2019"
"59240","S64935555",2,"2019"
"54699","S73091676",8,"2020"
"54699","S74765326",10,"2020"
"54699","S76833145",11,"2020"
"54700","S72931217",8,"2020"
"54699","S64770231",2,"2019"
"54699","S71888854",7,"2020"
"47572","S63926418",1,"2019"
"54699","S77123144",12,"2020"
"60542","S65615347",3,"2019"
"54699","S64935476",2,"2019"
"59239","S63312961",1,"2019"
"57947","S63314386",1,"2019"
"54699","S63151208",1,"2019"
"54699","S77222018",12,"2020"
"54699","G5442044",5,"2019"
"63802","S64935528",2,"2019"
"63802","S64935526",2,"2019"
"63802","S63315905",1,"2019"
"63802","S64935512",2,"2019"
"63802","S64770278",2,"2019"
"54699","S78980592",1,"2020"
"54699","S83058463",2,"2020"
"54699","S83058955",2,"2020"
"54699","S105054864",3,"2021"
"60542","S102416088",1,"2021"
"60542","S106381633",3,"2021"
"60542","S109074578",5,"2021"
"59240","S122967649",11,"2022"
"59240","S122967638",11,"2022"
"59240","S122967665",11,"2022"
"54699","S122968943",11,"2022"
"60542","S124820903",12,"2022"
"59240","S122968632",11,"2022"
"59240","S122968550",11,"2022"
"59240","S122967656",11,"2022"
"59240","S122967674",11,"2022"
"59240","S122968600",11,"2022"
"54700","S123535323",11,"2022"
"54699","S122968879",11,"2022"
"54700","S123535205",11,"2022"
"59240","S122968401",11,"2022"
"60542","S102954199",2,"2021"
"59240","S122968355",11,"2022"
"54699","S105184441",3,"2021"
"54699","S122968773",11,"2022"
"54699","S110630647",3,"2021"
"58589","S122968299",11,"2022"
"59240","S122967643",11,"2022"
"54699","S123534517",11,"2022"
"59240","S122276660",11,"2022"
"54699","S124444598",11,"2022"
"58589","S124445256",11,"2022"
"54699","S104070752",3,"2021"
"58589","S132841575",4,"2022"
"58589","S132841678",4,"2022"
"54699","S129342161",1,"2022"
"47572","S129342484",1,"2022"
"59240","S129342138",1,"2022"
"58589","S151335766",10,"2023"
"59240","S151449395",10,"2023"
"60542","S125827492",1,"2022"
"60542","S125835646",1,"2022"
"58589","S154601037",11,"2023"
"63802","S129342189",1,"2022"
"59240","S129341992",2,"2022"
"59240","S129342002",1,"2022"
"58589","G9976165",4,"2022"
"58589","S151697870",10,"2023"
"58589","S151862200",10,"2023"
"58589","S151771124",10,"2023"
"59240","S151336532",10,"2023"
"60542","S125835230",1,"2022"
"57947","S151590773",10,"2023"
"58589","S132841700",4,"2022"
"64453","S129342243",1,"2022"
"59240","S151401154",10,"2023"
"59240","S151320812",10,"2023"
"54699","S151599615",10,"2023"
"54699","S151666771",10,"2023"
"60542","S125763797",1,"2022"
"60542","S151402234",10,"2023"
"60542","S125753096",1,"2022"
"60543","S151403091",10,"2023"
"54699","S151602907",10,"2023"
"60542","S125824455",1,"2022"
"58589","S154601247",11,"2023"
"58589","S132841720",4,"2022"
"58589","S151336287",10,"2023"
"54699","S151516540",10,"2023"
"47572","S149234279",1,"2022"
"54699","S151669240",10,"2023"
"60542","S125754355",1,"2022"
"60542","S151402807",10,"2023"
"54699","S129342181",1,"2022"
"59240","S151781096",10,"2023"
"59240","S151375592",10,"2023"
"58589","S129341960",1,"2022"
"47572","S129342482",1,"2022"
"60542","S125909640",1,"2022"
"58589","S125669883",1,"2022"
"58589","S129341978",2,"2022"
"58589","S132841523",4,"2022"
"59240","S151786327",10,"2023"
"59240","S151317937",10,"2023"
"58589","S154601444",11,"2023"
"58589","S151693609",10,"2023"
"59240","S151443957",10,"2023"
"58589","S151694341",10,"2023"
"47572","S129342309",1,"2022"
"58589","S154601305",11,"2023"
"60542","S125909655",1,"2022"
"54699","S151516746",10,"2023"
"63151","S129342252",1,"2022"
"54699","S151590956",10,"2023"
"59240","S151848946",10,"2023"
"58589","S154601367",11,"2023"
"54699","S161787695",2,"2023"
"59240","S159423504",1,"2023"
"54699","S159423560",1,"2023"
"54699","S160159412",1,"2023"
"58589","G11867131",3,"2023"
"59892","S164268925",3,"2023"
"54699","G11636086",1,"2023"
"54699","S200956109",10,"2024"
"59240","S174408735",5,"2023"
"58589","G13032229",9,"2024"
"58589","S198893003",10,"2024"
"54699","S200060187",10,"2024"
"60542","S205718094",12,"2024"
"60542","G13982898",12,"2024"
"57947","S160919587",2,"2023"
"58589","G13032226",9,"2024"
"54699","S158677767",1,"2023"
"58589","G13032227",9,"2024"
"58589","S160462673",2,"2023"
"54699","S159423557",1,"2023"
"54699","S159423551",1,"2023"
"59892","G12111911",3,"2023"
"54699","S200254830",10,"2024"
"59240","S174408534",5,"2023"
"60542","G13982899",12,"2024"
"60542","S167165113",3,"2023"
"60542","S167165044",3,"2023"
"22209","S164968985",3,"2023"
"54699","S159423542",1,"2023"
"54699","S159423538",1,"2023"
"58589","G13032228",9,"2024"
"54699","S160235305",1,"2023"
"54699","G11723831",2,"2023"
"58589","S159423521",1,"2023"
"58589","G13032225",9,"2024"
"60542","G13982886",12,"2024"
"22209","S164870251",3,"2023"
"59240","S246989948",4,"2023"
"58589","S210629259",12,"2024"
"58589","S159423527",1,"2023"
"60542","S160463300",2,"2023"
"54699","S200581525",10,"2024"
"64452","S169256337",2,"2023"
"54699","S160161790",1,"2023"
"54699","G11636100",1,"2023"
"54699","S167483133",4,"2023"
"60542","S205870392",12,"2024"
"58589","G13982863",12,"2024"
"54699","G13693322",12,"2024"
"22209","S165002729",3,"2023"
"54699","S159423555",1,"2023"
"58589","S194955642",9,"2024"
"58589","S195633950",9,"2024"
"59240","S159423487",1,"2023"
"59240","S198824756",10,"2024"
"60542","S167165220",3,"2023"
"58589","S212402099",12,"2024"
"54699","S159423563",1,"2023"
"58589","G13032231",9,"2024"
