"LOCALITY.ID","group.id","month","timegroups"
"L4201294","S27194033",7,"2011-2012"
"L4377247","S37903906",1,"2011-2012"
"L4396989","S28264152",3,"2015"
"L7564268","S74441977",4,"2016"
"L5145800","S39187890",8,"2017"
"L6319654","G2860789",9,"2017"
"L5145856","S39970421",10,"2017"
"L4377247","S39970408",10,"2017"
"L5145800","S39970436",10,"2017"
"L5145916","G7057812",12,"2017"
"L5145916","G7057809",1,"2017"
"L5145916","S41606076",1,"2017"
"L5145916","S41606101",1,"2017"
"L7075074","S46536629",3,"2017"
"L7568812","S46535958",3,"2017"
"L5145800","S46315363",6,"2018"
"L5145800","S46492349",6,"2018"
"L7564559","S46541698",6,"2018"
"L7564268","S46540956",6,"2018"
"L7564559","S46515273",6,"2018"
"L5145800","S53078336",2,"2018"
"L11442114","S69023165",6,"2019"
"L60120348","S308659404",9,"2019"
"L5145800","S60865473",10,"2019"
"L5145856","S62261147",12,"2019"
"L5145800","S62953217",1,"2019"
"L10492554","S63797447",1,"2019"
"L10492554","S63410494",1,"2019"
"L7075074","S64489215",2,"2019"
"L5145856","S68581929",5,"2019"
"L11442114","S69546183",5,"2019"
"L5145856","S69354189",5,"2019"
"L5145800","S69998083",5,"2019"
"L12153934","S70113613",6,"2020"
"L5145800","S70113874",6,"2020"
"L5145856","S70411534",6,"2020"
"L4377247","S72830866",7,"2020"
"L5145800","S71341508",7,"2020"
"L4377247","G7057757",8,"2020"
"L4377247","S72831535",8,"2020"
"L12153934","S72831635",8,"2020"
"L4377247","S72831424",8,"2020"
"L5145856","G7057755",8,"2020"
"L7075074","S74234074",8,"2020"
"L17350002","S143010542",8,"2020"
"L12288766","G7057742",9,"2020"
"L12288766","G7057750",9,"2020"
"L12153934","G7057752",9,"2020"
"L4377247","G7057740",9,"2020"
"L7075074","S74233997",9,"2020"
"L12288766","S73580400",9,"2020"
"L5145916","G7057720",10,"2020"
"L5145916","S75812381",10,"2020"
"L5145800","G7057707",11,"2020"
"L5145800","S76273448",11,"2020"
"L5145800","G7057712",11,"2020"
"L5145800","G7057714",11,"2020"
"L12830757","S76832315",11,"2020"
"L5145916","G7057718",11,"2020"
"L12983296","S77716607",12,"2020"
"L12901505","G7057693",12,"2020"
"L12901505","G7057698",12,"2020"
"L5145800","G7057697",12,"2020"
"L12901505","G7057695",12,"2020"
"L5145916","G7057696",12,"2020"
"L13336528","G7057682",1,"2020"
"L12901505","G7057681",1,"2020"
"L12901505","G7057660",1,"2020"
"L12901505","G7057685",1,"2020"
"L12901505","S119412335",1,"2020"
"L12901505","G7057679",2,"2020"
"L13336528","S84440547",2,"2020"
"L12901505","G7057675",3,"2020"
"L12901505","G7057676",3,"2020"
"L12901505","G7057661",3,"2020"
"L5145856","G7057677",3,"2020"
"L12901505","G7057673",3,"2020"
"L12901505","G7057671",4,"2020"
"L12901505","G7057669",4,"2020"
"L12901505","G7057658",5,"2020"
"L12901505","G7057668",5,"2020"
"L12901505","G7057667",5,"2020"
"L12901505","G7057647",6,"2021"
"L12901505","S90097524",6,"2021"
"L12901505","S90357278",6,"2021"
"L4377247","G7057652",6,"2021"
"L12901505","G7057641",6,"2021"
"L12901505","G7057635",7,"2021"
"L12901505","G7057643",7,"2021"
"L12901505","G7057646",7,"2021"
"L5145800","S92605579",8,"2021"
"L12288766","G7077062",8,"2021"
"L12901505","S94038469",8,"2021"
"L5145800","S94695051",9,"2021"
"L12901505","S96585598",10,"2021"
"L21449372","S121894247",10,"2021"
"L12288766","S96101747",10,"2021"
"L12901505","S119499376",10,"2021"
"L16665343","G7333268",10,"2021"
"L12901505","S97913172",11,"2021"
"L17350002","S143011720",11,"2021"
"L17221645","S99550163",12,"2021"
"L12901505","G7837790",12,"2021"
"L12901505","S100924566",1,"2021"
"L12901505","G7837791",2,"2021"
"L12901505","S103140400",2,"2021"
"L12901505","S103140610",2,"2021"
"L12901505","S102957739",2,"2021"
"L4377247","S102834236",2,"2021"
"L12901505","S103140504",2,"2021"
"L12901505","S102555931",2,"2021"
"L12901505","S103140351",2,"2021"
"L17350002","S103325958",2,"2021"
"L12901505","S102741965",2,"2021"
"L18198207","S105278552",3,"2021"
"L18500302","S107011881",4,"2021"
"L12901505","G8285273",4,"2021"
"L18741249","S108347570",4,"2021"
"L12901505","S109626590",5,"2021"
"L12901505","G8285274",5,"2021"
"L12901505","G8285270",5,"2021"
"L17350002","S143013148",6,"2022"
"L27186675","S150421691",7,"2022"
"L12153934","G8768383",7,"2022"
"L19933170","S143013920",7,"2022"
"L19933170","S143014062",7,"2022"
"L16384496","S117748612",8,"2022"
"L12901505","S117840917",8,"2022"
"L4377247","S117748641",8,"2022"
"L12288766","S116537088",8,"2022"
"L16384496","S117374816",8,"2022"
"L16384496","S117374875",8,"2022"
"L16384496","S117374618",8,"2022"
"L5145916","S117312354",8,"2022"
"L16384496","G8947319",9,"2022"
"L20881823","S118713267",9,"2022"
"L17350002","S118715707",9,"2022"
"L20881823","S118708817",9,"2022"
"L16384496","G9473387",10,"2022"
"L12901505","G9120529",10,"2022"
"L16665343","S120983590",10,"2022"
"L13336528","S120578655",10,"2022"
"L12901505","S120299912",10,"2022"
"L16384496","S120435911",10,"2022"
"L5145800","S120435931",10,"2022"
"L13336528","S120705295",10,"2022"
"L12901505","S123626002",10,"2022"
"L12901505","S122106739",11,"2022"
"L12901505","G10130675",1,"2022"
"L22075448","S125436634",1,"2022"
"L12901505","S129751287",2,"2022"
"L17350002","S128495116",2,"2022"
"L17350002","S143015167",2,"2022"
"L24437476","S143019351",4,"2022"
"L12901505","S135800266",5,"2022"
"L24762593","S139550122",5,"2022"
"L24437476","S138218724",5,"2022"
"L24762593","S139702764",5,"2022"
"L5145800","S144688151",6,"2023"
"L13336528","S142165729",6,"2023"
